id,stock_num,vendor_id,total_sales_price,size,city,state,country,available,cert_num,shape,color,meas_length,meas_width,meas_depth,meas_ratio,image_url,video_url,cert_url,price_per_carat,lab,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,clarity,cut,symmetry,polish,depth_percent,table_percent,girdle_min,girdle_max,fluor_color,fluor_intensity,short_title,crown_height,crown_angle,pavilion_depth,pavilion_angle,eye_clean,discount_percent,bgm,girdle_percent,created_at,updated_at,base_price_per_carat,base_price,clarity_long,clarity_short,culet_size_long,culet_size_short,cut_long,cut_short,fluorescence_intensity_long,fluorescence_intensity_short,lab_long,lab_short,polish_long,polish_short,shape_long,shape_short,symmetry_long,symmetry_short,vendor_name,girdle_min_long,girdle_min_short,girdle_max_long,girdle_max_short,fancy_color_long,fancy_color_short,fancy_color_intensity_long,fancy_color_intensity_short,long_title,vendor_phone,vendor_mobile_phone,vendor_email,contact_person,vendor_street_address,vendor_city,vendor_state,vendor_country,vendor_zip_code,vendor_iphone
38488880,RM31-10,21776,1399.65,2.17,,,India,1,510185229,Round,F,8.24,8.29,5.15,,https://view.gem360.in/gem360/2201220506-RM31-10/thumb.jpg,https://view.gem360.in/gem360/2201220506-RM31-10/gem360-2201220506-RM31-10.html,https://www.igi.org/viewpdf.php?r=510185229,645.0,IGI,,,,,VS1,Ideal,Excellent,Excellent,62.3,56.0,,,,None,Round 2.17ct F VS1,,,,,YES,-97.0,None,,2022-01-22T08:04:00.631Z,2022-11-28T10:21:44.972Z,645.0,1399.65,VS1,VS1,,,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Shreeji Diamond.,,,,,,,,,Round 2.17ct F VS1,9429379019,9624744882,shreejidiamondpal@gmail.com,Rahul Patel,Mahidhapura,Surat,,India,395003,
38488882,RM31-16,21776,1322.25,2.05,,,India,1,510185227,Round,F,8.15,8.2,5.01,,https://view.gem360.in/gem360/2201220520-RM31-16/thumb.jpg,https://view.gem360.in/gem360/2201220520-RM31-16/gem360-2201220520-RM31-16.html,https://www.igi.org/viewpdf.php?r=510185227,645.0,IGI,,,,,VS1,Ideal,Excellent,Excellent,61.2,57.5,,,,None,Round 2.05ct F VS1,,,,,YES,-97.0,None,,2022-01-22T08:04:00.729Z,2022-11-28T10:21:44.972Z,645.0,1322.25,VS1,VS1,,,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Shreeji Diamond.,,,,,,,,,Round 2.05ct F VS1,9429379019,9624744882,shreejidiamondpal@gmail.com,Rahul Patel,Mahidhapura,Surat,,India,395003,
38488883,RM31-2.1,21776,803.32,1.51,,,India,1,510185235,Heart,F,7.07,7.95,4.65,0.89,https://view.gem360.in/gem360/2201220452-RM-31-2-1/thumb.jpg,https://view.gem360.in/gem360/2201220452-RM-31-2-1/gem360-2201220452-RM-31-2-1.html,https://www.igi.org/viewpdf.php?r=510185235,532.0,IGI,,,,,VS2,,Excellent,Excellent,58.5,60.5,,,,None,Heart 1.51ct F VS2,,,,,YES,-95.25,None,,2022-01-22T08:04:00.784Z,2022-11-28T10:21:44.972Z,532.0,803.32,VS2,VS2,,,,,None,None,IGI,IGI,Excellent,EX,Heart,HS,Excellent,EX,Shreeji Diamond.,,,,,,,,,Heart 1.51ct F VS2,9429379019,9624744882,shreejidiamondpal@gmail.com,Rahul Patel,Mahidhapura,Surat,,India,395003,
39304233,K305H-25A,21400,286.70,1.0,Mumbai,,India,1,510186755,Asscher,G,5.61,5.55,3.54,1.01,https://videos.gem360.in/imaged/510186755/still.jpg,https://videos.gem360.in/Vision360.html?d=510186755,https://www.igi.org/viewpdf.php?r=LG510186755,286.7,IGI,,,,,SI2,,Excellent,Excellent,63.8,69.0,,,,None,Asscher 1.00ct G SI2,,,,,,-93.9,None,,2022-02-11T08:57:42.148Z,2022-11-26T14:54:50.372Z,286.7,286.7,SI2,SI2,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.00ct G SI2,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304235,K305H-12,21400,515.59,1.24,Mumbai,,India,1,510101358,Asscher,D,6.09,6.06,3.77,1.0,https://videos.gem360.in/imaged/510101358/still.jpg,https://videos.gem360.in/Vision360.html?d=510101358,https://www.igi.org/viewpdf.php?r=LG510101358,415.8,IGI,,,,,SI1,,Excellent,Excellent,62.2,61.5,,,,None,Asscher 1.24ct D SI1,,,,,,-93.4,None,,2022-02-11T08:57:42.648Z,2022-11-26T14:54:50.372Z,415.8,515.592,SI1,SI1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.24ct D SI1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304237,K305H-35,21400,762.96,1.36,Mumbai,,India,1,510186757,Asscher,D,6.2,6.16,4.09,1.01,https://videos.gem360.in/imaged/510186757/still.jpg,https://videos.gem360.in/Vision360.html?d=510186757,https://www.igi.org/viewpdf.php?r=LG510186757,561.0,IGI,,,,,VS1,,Excellent,Excellent,66.4,61.0,,,,None,Asscher 1.36ct D VS1,,,,,,-93.4,None,,2022-02-11T08:57:42.948Z,2022-11-26T14:54:50.372Z,561.0,762.96,VS1,VS1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.36ct D VS1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304238,K305H-56,21400,562.32,1.42,Mumbai,,India,1,510171939,Asscher,E,6.23,6.21,4.25,1.0,https://videos.gem360.in/imaged/510171939/still.jpg,https://videos.gem360.in/Vision360.html?d=510171939,https://www.igi.org/viewpdf.php?r=LG510171939,396.0,IGI,,,,,SI1,,Excellent,Excellent,68.4,61.0,,,,None,Asscher 1.42ct E SI1,,,,,,-93.4,None,,2022-02-11T08:57:43.058Z,2022-11-26T14:54:50.372Z,396.0,562.32,SI1,SI1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.42ct E SI1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304239,K305H-40,21400,924.00,1.5,Mumbai,,India,1,510186760,Asscher,D,6.44,6.31,4.01,1.02,https://videos.gem360.in/imaged/510186760/still.jpg,https://videos.gem360.in/Vision360.html?d=510186760,https://www.igi.org/viewpdf.php?r=LG510186760,616.0,IGI,,,,,SI1,,Excellent,Excellent,63.5,66.0,,,,None,Asscher 1.50ct D SI1,,,,,,-94.4,None,,2022-02-11T08:57:43.150Z,2022-11-26T14:54:50.372Z,616.0,924.0,SI1,SI1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.50ct D SI1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304240,K305H-53,21400,997.81,1.51,Mumbai,,India,1,510171938,Asscher,E,6.36,6.26,4.21,1.02,https://videos.gem360.in/imaged/510171938/still.jpg,https://videos.gem360.in/Vision360.html?d=510171938,https://www.igi.org/viewpdf.php?r=LG510171938,660.8,IGI,,,,,VS2,,Excellent,Excellent,67.3,65.0,,,,None,Asscher 1.51ct E VS2,,,,,,-94.4,None,,2022-02-11T08:57:43.456Z,2022-11-26T14:54:50.372Z,660.8,997.808,VS2,VS2,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.51ct E VS2,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304242,K305H-52,21400,1103.87,1.54,Mumbai,,India,1,510101364,Asscher,E,6.33,6.3,4.22,1.0,https://videos.gem360.in/imaged/510101364/still.jpg,https://videos.gem360.in/Vision360.html?d=510101364,https://www.igi.org/viewpdf.php?r=LG510101364,716.8,IGI,,,,,VS1,,Excellent,Excellent,67.0,63.0,,,,None,Asscher 1.54ct E VS1,,,,,,-94.4,None,,2022-02-11T08:57:43.718Z,2022-11-26T14:54:50.372Z,716.8,1103.872,VS1,VS1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.54ct E VS1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304243,K305H-54,21400,954.80,1.55,Mumbai,,India,1,510186751,Asscher,D,6.38,6.32,4.15,1.01,https://videos.gem360.in/imaged/510186751/still.jpg,https://videos.gem360.in/Vision360.html?d=510186751,https://www.igi.org/viewpdf.php?r=LG510186751,616.0,IGI,,,,,SI1,,Excellent,Excellent,65.7,56.0,,,,None,Asscher 1.55ct D SI1,,,,,,-94.4,None,,2022-02-11T08:57:43.845Z,2022-11-26T14:54:50.372Z,616.0,954.8,SI1,SI1,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.55ct D SI1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304245,K305H-33,21400,1194.37,1.72,Mumbai,,India,1,510171935,Asscher,D,6.74,6.7,4.2,1.01,https://videos.gem360.in/imaged/510171935/still.jpg,https://videos.gem360.in/Vision360.html?d=510171935,https://www.igi.org/viewpdf.php?r=LG510171935,694.4,IGI,,,,,VS2,,Excellent,Excellent,62.7,57.5,,,,None,Asscher 1.72ct D VS2,,,,,,-94.4,None,,2022-02-11T08:57:43.945Z,2022-11-26T14:54:50.372Z,694.4,1194.368,VS2,VS2,,,,,None,None,IGI,IGI,Excellent,EX,Asscher,AC,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Asscher 1.72ct D VS2,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304253,K305H-2,21400,1185.03,1.71,Mumbai,,India,1,510186753,Cushion,E,7.41,6.99,4.36,1.06,https://videos.gem360.in/imaged/510186753/still.jpg,https://videos.gem360.in/Vision360.html?d=510186753,https://www.igi.org/viewpdf.php?r=LG510186753,693.0,IGI,,,,,SI1,,Excellent,Excellent,62.4,62.5,,,,None,Cushion 1.71ct E SI1,,,,,,-93.4,None,,2022-02-11T08:57:45.162Z,2022-11-26T14:54:50.372Z,693.0,1185.03,SI1,SI1,,,,,None,None,IGI,IGI,Excellent,EX,Cushion,CU,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Cushion 1.71ct E SI1,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39304255,K305H-32,21400,1307.65,2.02,Mumbai,,India,1,510171934,Cushion,D,7.31,7.22,4.79,1.01,https://videos.gem360.in/imaged/510171934/still.jpg,https://videos.gem360.in/Vision360.html?d=510171934,https://www.igi.org/viewpdf.php?r=LG510171934,647.35,IGI,,,,,SI2,,Excellent,Excellent,66.3,61.5,,,,None,Cushion 2.02ct D SI2,,,,,,-94.65,None,,2022-02-11T08:57:45.449Z,2022-11-26T14:54:50.372Z,647.35,1307.647,SI2,SI2,,,,,None,None,IGI,IGI,Excellent,EX,Cushion,CU,Excellent,EX,Brahmani Gems (Mumbai),,,,,,,,,Cushion 2.02ct D SI2,7021219893,9833431844,brahmanigems@gmail.com,Sumant Mendpara,Dw3200 Bharat Diamond Bourse Bkc Bandra East,Mumbai,,India,,
39963351,RM32-4,21776,1662.50,2.5,,,India,1,514268024,Round,G,8.64,8.68,5.4,,https://view.gem360.in/gem360/1202220820-RM32-4/thumb.jpg,https://view.gem360.in/gem360/1202220820-RM32-4/gem360-1202220820-RM32-4.html,https://www.igi.org/viewpdf.php?r=514268024,665.0,IGI,,,,,VS1,Ideal,Excellent,Excellent,62.4,55.5,,,,None,Round 2.50ct G VS1,,,,,YES,-96.5,None,,2022-02-12T10:12:56.238Z,2022-11-28T10:21:44.972Z,665.0,1662.5,VS1,VS1,,,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Shreeji Diamond.,,,,,,,,,Round 2.50ct G VS1,9429379019,9624744882,shreejidiamondpal@gmail.com,Rahul Patel,Mahidhapura,Surat,,India,395003,
40565329,RM34-4,21776,1430.10,2.27,,,India,1,515217464,Round,G,8.39,8.44,5.2,,https://view.gem360.in/gem360/1902220443-RM34-4/thumb.jpg,https://view.gem360.in/gem360/1902220443-RM34-4/gem360-1902220443-RM34-4.html,https://www.igi.org/viewpdf.php?r=515217464,630.0,IGI,,,,,VVS2,Ideal,Excellent,Excellent,61.8,57.5,,,,None,Round 2.27ct G VVS2,,,,,YES,-97.0,None,,2022-02-18T06:27:56.216Z,2022-11-28T10:21:44.972Z,630.0,1430.1,VVS2,VVS2,,,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Shreeji Diamond.,,,,,,,,,Round 2.27ct G VVS2,9429379019,9624744882,shreejidiamondpal@gmail.com,Rahul Patel,Mahidhapura,Surat,,India,395003,
40670705,LE0001,26307,315.36,0.73,,,India,1,,Round,D,5.9,5.91,3.49,,https://thelabimage.com/REALIMAGELAB/LE0001.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LE0001.HTML,,432.0,IGI,,,,,VS2,Ideal,Excellent,Excellent,59.1,58.5,MEDIUM (FACETED),Thin,,None,Round 0.73ct D VS2,13.5,33.1,42.5,40.6,,-92.0,None,3.1,2022-02-22T11:58:05.231Z,2022-11-29T08:25:37.288Z,432.0,315.36,VS2,VS2,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,Thin,Thin,,,,,Round 0.73ct D VS2,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
40670706,LD0001,26307,585.00,0.9,,,India,1,,Round,D,6.26,6.31,3.75,,https://thelabimage.com/REALIMAGELAB/LD0001.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LD0001.HTML,,650.0,IGI,,,,,VVS2,Ideal,Excellent,Excellent,59.8,58.0,,MEDIUM (FACETED),,None,Round 0.90ct D VVS2,13.5,33.0,42.5,40.6,100,-93.75,None,3.5,2022-02-22T11:58:05.441Z,2022-11-29T08:25:37.288Z,650.0,585.0,VVS2,VVS2,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,,,,,,,Round 0.90ct D VVS2,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
40670710,LC0060,26307,709.29,1.11,,,St,1,,Round,D,6.64,6.65,4.09,,https://thelabimage.com/REALIMAGELAB/LC0060.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LC0060.HTML,,639.0,IGI,,,,,VVS2,Ideal,Excellent,Excellent,61.5,58.0,,MEDIUM (FACETED),,None,Round 1.11ct D VVS2,14.5,34.5,43.5,41.0,100,-95.5,None,3.8,2022-02-22T11:58:06.201Z,2022-11-29T08:25:37.288Z,639.0,709.29,VVS2,VVS2,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,,,,,,,Round 1.11ct D VVS2,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
40670718,LC0059,26307,812.50,1.3,,,India,1,,Round,D,6.94,6.99,4.31,,https://thelabimage.com/REALIMAGELAB/LC0059.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LC0059.HTML,,625.0,IGI,,,,,VS1,Ideal,Excellent,Excellent,61.9,55.5,,MEDIUM (FACETED),,None,Round 1.30ct D VS1,16.0,35.3,42.5,40.3,100,-95.0,None,3.9,2022-02-22T11:58:07.708Z,2022-11-29T08:25:37.288Z,625.0,812.5,VS1,VS1,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,,,,,,,Round 1.30ct D VS1,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
40670723,LC0033,26307,584.42,1.11,,,St,1,,Round,E,6.63,6.66,4.08,,https://thelabimage.com/REALIMAGELAB/LC0033.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LC0033.HTML,,526.5,IGI,,,,,VS1,Ideal,Excellent,Excellent,61.3,56.0,,MEDIUM (FACETED),,None,Round 1.11ct E VS1,15.5,35.0,42.5,40.3,100,-95.5,None,3.8,2022-02-22T11:58:08.510Z,2022-11-29T08:25:37.288Z,526.5,584.42,VS1,VS1,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,,,,,,,Round 1.11ct E VS1,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
40670726,LC0034,26307,772.20,1.32,,,St,1,,Round,E,7.03,7.06,4.36,,https://thelabimage.com/REALIMAGELAB/LC0034.jpg,https://thelabimage.com/VIDEOIMAGELABHTML/LC0034.HTML,,585.0,IGI,,,,,VS1,Ideal,Excellent,Excellent,61.9,56.0,,MEDIUM (FACETED),,None,Round 1.32ct E VS1,15.0,34.0,43.5,41.1,100,-95.0,None,3.5,2022-02-22T11:58:09.075Z,2022-11-29T08:25:37.288Z,585.0,772.2,VS1,VS1,None,N,Ideal,ID,None,None,IGI,IGI,Excellent,EX,Round,RB,Excellent,EX,Pal Diam,,,,,,,,,Round 1.32ct E VS1,9820194599,9925499963,paldiam@hotmail.com,alpeshkumar saspara,"dw-2150,2160  bharat diamond bourse bkc.",Mumbai,,India,400051,
